"Timestamp","Message"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 80 10.0.0.174 47318 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 2 - 10.0.0.174 - 92.63.197.89 6 us-east-1 92.63.197.89 56087 1701225920 - - subnet-066b93a317b004cf7 6 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 92.63.197.89 56087 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 92.63.197.89 - 10.0.0.174 6 us-east-1 10.0.0.174 47318 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 25001 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 94.102.61.83 6 us-east-1 94.102.61.83 39803 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 94.102.61.83 39803 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 94.102.61.83 - 10.0.0.174 6 us-east-1 10.0.0.174 25001 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 49249 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 162.216.149.59 6 us-east-1 162.216.149.59 51748 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 162.216.149.59 51748 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 162.216.149.59 - 10.0.0.174 6 us-east-1 10.0.0.174 49249 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 9711 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 35.203.211.38 6 us-east-1 35.203.211.38 54297 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 35.203.211.38 54297 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 35.203.211.38 - 10.0.0.174 6 us-east-1 10.0.0.174 9711 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 4020 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 198.235.24.184 6 us-east-1 198.235.24.184 53539 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 198.235.24.184 53539 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 198.235.24.184 - 10.0.0.174 6 us-east-1 10.0.0.174 4020 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 23107 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 162.216.150.112 6 us-east-1 162.216.150.112 56736 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
